Source,Type,Target,Weight
Barnardo_Ham,Undirected,Francisco_Ham,1
Barnardo_Ham,Undirected,Horatio_Ham,2
Barnardo_Ham,Undirected,Marcellus_Ham,2
Barnardo_Ham,Undirected,Claudius_Ham,1
Barnardo_Ham,Undirected,Cornelius_Ham,1
Barnardo_Ham,Undirected,Voltemand_Ham,1
Barnardo_Ham,Undirected,Laertes_Ham,1
Barnardo_Ham,Undirected,Polonius_Ham,1
Barnardo_Ham,Undirected,Hamlet_Ham,1
Barnardo_Ham,Undirected,Gertrude_Ham,1
Francisco_Ham,Undirected,Horatio_Ham,1
Francisco_Ham,Undirected,Marcellus_Ham,1
Horatio_Ham,Undirected,Marcellus_Ham,4
Horatio_Ham,Undirected,Claudius_Ham,5
Horatio_Ham,Undirected,Cornelius_Ham,1
Horatio_Ham,Undirected,Voltemand_Ham,1
Horatio_Ham,Undirected,Laertes_Ham,4
Horatio_Ham,Undirected,Polonius_Ham,2
Horatio_Ham,Undirected,Hamlet_Ham,6
Horatio_Ham,Undirected,Gertrude_Ham,5
Horatio_Ham,Undirected,Ghost_Ham,1
Horatio_Ham,Undirected,PLAYERS.0.1_Ham,1
Horatio_Ham,Undirected,Rosencrantz_Ham,1
Horatio_Ham,Undirected,Ophelia_Ham,2
Horatio_Ham,Undirected,PLAYERS.Prologue_Ham,1
Horatio_Ham,Undirected,PLAYERS.King_Ham,1
Horatio_Ham,Undirected,PLAYERS.Queen_Ham,1
Horatio_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Horatio_Ham,Undirected,Guildenstern_Ham,1
Horatio_Ham,Undirected,ATTENDANTS.1_Ham,1
Horatio_Ham,Undirected,MESSENGERS.1_Ham,1
Horatio_Ham,Undirected,FOLLOWERS.LAERTES_Ham,1
Horatio_Ham,Undirected,ATTENDANTS.0.1_Ham,1
Horatio_Ham,Undirected,SAILORS.0.1_Ham,1
Horatio_Ham,Undirected,Gravedigger_Ham,1
Horatio_Ham,Undirected,GravediggersCompanion_Ham,1
Horatio_Ham,Undirected,Doctor_Ham,1
Horatio_Ham,Undirected,ATTENDANTS_Ham,2
Horatio_Ham,Undirected,Osric_Ham,1
Horatio_Ham,Undirected,ATTENDANTS.2_Ham,1
Horatio_Ham,Undirected,Fortinbras_Ham,1
Horatio_Ham,Undirected,AMBASSADORS_Ham,1
Marcellus_Ham,Undirected,Claudius_Ham,1
Marcellus_Ham,Undirected,Cornelius_Ham,1
Marcellus_Ham,Undirected,Voltemand_Ham,1
Marcellus_Ham,Undirected,Laertes_Ham,1
Marcellus_Ham,Undirected,Polonius_Ham,1
